ass1;ass2;dif
05.556;05.572;0.136364
05.556;05.573;0.102941
05.556;05.574;0.0
05.556;05.575;0.109091
05.556;05.576;0.0
05.556;05.577;0.0
05.556;05.578;0.0
05.556;05.579;0.0
05.556;05.580;0.0
05.556;05.581;0.0
05.556;05.582;0.0724638
05.556;05.583;0.1
05.556;05.584;0
05.556;05.585;0.0909091
05.556;05.586;0.125
05.556;05.587;0.0
05.556;05.588;0.0
05.556;05.589;0.0408163
05.556;05.590;0.115385
05.556;05.591;0.0
05.556;05.592;0.0
05.556;05.593;0
05.556;05.594;0.0
05.556;05.595;0.0
05.556;05.596;0.0833333
05.556;05.597;0
05.556;05.598;0.0
05.556;05.599;0.0
05.556;05.600;0.0
05.556;05.601;0.0
05.556;05.604;0.0
05.556;05.607;0.0
05.556;05.611;0.15493
05.556;05.613;0
05.556;05.614;0.144417
05.556;05.615;0.0
05.556;05.616;0.0
05.556;22.400;0.0
05.557;05.554;0.41652
05.557;05.555;0.34072
05.557;05.556;0.201439
05.557;05.557;0.4875
05.557;05.558;0.253846
05.557;05.559;0.294845
05.557;05.560;0.0852713
05.557;05.561;0.185535
05.557;05.562;0.441536
05.557;05.563;0.206485
05.557;05.564;0.316456
05.557;05.565;0.250602
05.557;05.566;0.245614
05.557;05.567;0.2
05.557;05.568;0.270769
05.557;05.569;0.195312
05.557;05.570;0.406284
05.557;05.571;0.208054
05.557;05.572;0.119048
05.557;05.573;0.283784
05.557;05.574;0.0
05.557;05.575;0.283019
05.557;05.576;0.0
05.557;05.577;0.0
05.557;05.578;0.0
05.557;05.579;0.0
05.557;05.580;0.0
05.557;05.581;0.0
05.557;05.582;0.216216
05.557;05.583;0.0
05.557;05.584;0.230769
05.557;05.585;0.368421
05.557;05.586;0.214286
05.557;05.587;0.0
05.557;05.588;0.0
05.557;05.589;0.14
05.557;05.590;0.107143
05.557;05.591;0.0
05.557;05.592;0.0
05.557;05.593;0.15
05.557;05.594;0.0
05.557;05.595;0
05.557;05.596;0.217391
05.557;05.597;0.0833333
05.557;05.598;0.0
05.557;05.599;0.0
05.557;05.600;0.0909091
05.557;05.601;0.0
05.557;05.604;0.153846
05.557;05.607;0.3
05.557;05.611;0.358491
05.557;05.613;0.272727
05.557;05.614;0.317757
05.557;05.615;0.0
05.557;05.616;0.0
05.557;22.400;0.0
05.558;05.554;0.352518
05.558;05.555;0.209386
05.558;05.556;0.123839
05.558;05.557;0.253846
05.558;05.558;0.464883
05.558;05.559;0.171875
05.558;05.560;0.0359712
05.558;05.561;0.15942
