ass1;ass2;sol
05.556;05.569;0.0990853658536585
05.556;05.570;0.326219512195122
05.556;05.571;0.102134146341463
05.556;05.572;0.150914634146341
05.556;05.573;0.169207317073171
05.556;05.574;0.114329268292683
05.556;05.575;0.266768292682927
05.556;05.576;0.114329268292683
05.556;05.577;0
05.556;05.578;0
05.556;05.579;0.0701219512195122
05.556;05.580;0
05.556;05.581;0.111280487804878
05.556;05.582;0.0990853658536585
05.556;05.583;0.179878048780488
05.556;05.584;0.102134146341463
05.556;05.585;0.0609756097560976
05.556;05.586;0.114329268292683
05.556;05.587;0.105182926829268
05.556;05.588;0
05.556;05.589;0.217987804878049
05.556;05.590;0.114329268292683
05.556;05.591;0.146341463414634
05.556;05.592;0.190548780487805
05.556;05.593;0
05.556;05.594;0
05.556;05.595;0
05.556;05.596;0
05.556;05.597;0.108231707317073
05.556;05.598;0.153963414634146
05.556;05.599;0.141768292682927
05.556;05.600;0
05.556;05.601;0.190548780487805
05.556;05.604;0
05.556;05.607;0
05.556;05.611;0.114329268292683
05.556;05.613;0.114329268292683
05.556;05.614;0.262195121951219
05.556;05.615;0
05.556;05.616;0
05.556;22.400;0.114329268292683
05.557;05.554;0.176829268292683
05.557;05.555;0.170731707317073
05.557;05.556;0.138719512195122
05.557;05.557;0
05.557;05.558;0.221036585365854
05.557;05.559;0
05.557;05.560;0
05.557;05.561;0.185975609756098
05.557;05.562;0.161585365853659
05.557;05.563;0
05.557;05.564;0.182926829268293
05.557;05.565;0.173780487804878
05.557;05.566;0.170731707317073
05.557;05.567;0.160060975609756
05.557;05.568;0.0945121951219512
05.557;05.569;0.129573170731707
05.557;05.570;0.478658536585366
05.557;05.571;0.150914634146341
05.557;05.572;0.240853658536585
05.557;05.573;0.210365853658537
05.557;05.574;0.189024390243902
05.557;05.575;0.416158536585366
05.557;05.576;0.18140243902439
05.557;05.577;0
05.557;05.578;0
05.557;05.579;0.0792682926829268
05.557;05.580;0
05.557;05.581;0.167682926829268
05.557;05.582;0.140243902439024
05.557;05.583;0.282012195121951
05.557;05.584;0.161585365853659
05.557;05.585;0.102134146341463
05.557;05.586;0.178353658536585
05.557;05.587;0.166158536585366
05.557;05.588;0
05.557;05.589;0.326219512195122
05.557;05.590;0.18140243902439
05.557;05.591;0.208841463414634
05.557;05.592;0.292682926829268
05.557;05.593;0
05.557;05.594;0
05.557;05.595;0
05.557;05.596;0
05.557;05.597;0.178353658536585
05.557;05.598;0.240853658536585
05.557;05.599;0.213414634146341
05.557;05.600;0
05.557;05.601;0.304878048780488
05.557;05.604;0
05.557;05.607;0
05.557;05.611;0.178353658536585
05.557;05.613;0.1875
05.557;05.614;0.417682926829268
05.557;05.615;0
05.557;05.616;0
05.557;22.400;0.1875
05.558;05.554;0.172256097560976
05.558;05.555;0.161585365853659
05.558;05.556;0.13719512195122
05.558;05.557;0.221036585365854
05.558;05.558;0
05.558;05.559;0
05.558;05.560;0
05.558;05.561;0.18140243902439
05.558;05.562;0.155487804878049
05.558;05.563;0
05.558;05.564;0.17530487804878
05.558;05.565;0.170731707317073
05.558;05.566;0.160060975609756
05.558;05.567;0.155487804878049
05.558;05.568;0.0960365853658536
05.558;05.569;0.129573170731707
05.558;05.570;0.490853658536585
05.558;05.571;0.147865853658537
05.558;05.572;0.233231707317073
05.558;05.573;0.19359756097561
05.558;05.574;0.184451219512195
05.558;05.575;0.397865853658537
05.558;05.576;0.176829268292683
05.558;05.577;0
05.558;05.578;0
05.558;05.579;0.0853658536585366
05.558;05.580;0
05.558;05.581;0.160060975609756
05.558;05.582;0.13109756097561
05.558;05.583;0.259146341463415
05.558;05.584;0.153963414634146
05.558;05.585;0.0853658536585366
05.558;05.586;0.172256097560976
05.558;05.587;0.161585365853659
05.558;05.588;0
05.558;05.589;0.310975609756098
05.558;05.590;0.176829268292683
05.558;05.591;0.19359756097561
05.558;05.592;0.274390243902439
05.558;05.593;0
05.558;05.594;0
05.558;05.595;0
05.558;05.596;0
05.558;05.597;0.172256097560976
05.558;05.598;0.239329268292683
05.558;05.599;0.196646341463415
05.558;05.600;0
05.558;05.601;0.307926829268293
05.558;05.604;0
05.558;05.607;0
05.558;05.611;0.172256097560976
05.558;05.613;0.182926829268293
05.558;05.614;0.408536585365854
05.558;05.615;0
05.558;05.616;0
05.558;22.400;0.182926829268293
05.559;05.554;0
05.559;05.555;0
05.559;05.556;0
05.559;05.557;0
05.559;05.558;0
05.559;05.559;0
05.559;05.560;0
05.559;05.561;0
05.559;05.562;0
05.559;05.563;0
05.559;05.564;0
05.559;05.565;0
05.559;05.566;0
05.559;05.567;0
05.559;05.568;0
05.559;05.569;0
05.559;05.570;0
05.559;05.571;0
05.559;05.572;0
05.559;05.573;0
05.559;05.574;0
05.559;05.575;0
05.559;05.576;0
05.559;05.577;0
05.559;05.578;0
05.559;05.579;0
05.559;05.580;0
05.559;05.581;0
05.559;05.582;0
05.559;05.583;0
05.559;05.584;0
05.559;05.585;0
05.559;05.586;0
05.559;05.587;0
05.559;05.588;0
05.559;05.589;0
05.559;05.590;0
05.559;05.591;0
05.559;05.592;0
05.559;05.593;0
05.559;05.594;0
05.559;05.595;0
05.559;05.596;0
05.559;05.597;0
05.559;05.598;0
05.559;05.599;0
05.559;05.600;0
05.559;05.601;0
05.559;05.604;0
05.559;05.607;0
05.559;05.611;0
05.559;05.613;0
05.559;05.614;0
05.559;05.615;0
05.559;05.616;0
05.559;22.400;0
05.560;05.554;0
05.560;05.555;0
05.560;05.556;0
05.560;05.557;0
05.560;05.558;0
05.560;05.559;0
05.560;05.560;0
05.560;05.561;0
05.560;05.562;0
05.560;05.563;0
05.560;05.564;0
05.560;05.565;0
05.560;05.566;0
05.560;05.567;0
05.560;05.568;0
05.560;05.569;0
05.560;05.570;0
05.560;05.571;0
05.560;05.572;0
05.560;05.573;0
05.560;05.574;0
05.560;05.575;0
05.560;05.576;0
05.560;05.577;0
05.560;05.578;0
05.560;05.579;0
05.560;05.580;0
05.560;05.581;0
